era,themes,id,song,artist,film,year,source_zip,original_filename,site_filename,duration_seconds
1980s,,caddyshack-im-alright,I'm Alright,Kenny Loggins,Caddyshack,1980,The 80s Songs.zip,Kenny Loggins - I'm Alright (Lyrics).mp3,caddyshack-im-alright.mp3,223.3
1980s,,footloose-footloose,Footloose,Kenny Loggins,Footloose,1984,The 80s Songs.zip,Kenny Loggins - Footloose (Lyrics).mp3,footloose-footloose.mp3,226.4
1980s,,top-gun-danger-zone,Danger Zone,Kenny Loggins,Top Gun,1986,The 80s Songs.zip,Kenny Loggins - Danger Zone (Lyrics) 4.mp3,top-gun-danger-zone.mp3,215.7
1980s,,top-gun-take-my-breath-away,Take My Breath Away,Berlin,Top Gun,1986,The 80s Songs.zip,Berlin - Take My Breath Away (Lyrics).mp3,top-gun-take-my-breath-away.mp3,252.8
1980s,,ghostbusters-ghostbusters,Ghostbusters,Ray Parker Jr.,Ghostbusters,1984,The 80s Songs.zip,"Ray Parker, Jr. - Ghostbusters (Lyrics).mp3",ghostbusters-ghostbusters.mp3,245.8
1980s,,back-to-the-future-power-of-love,The Power of Love,Huey Lewis and the News,Back to the Future,1985,The 80s Songs.zip,Huey Lewis and the News - The Power of Love (Lyrics) 4.mp3,back-to-the-future-power-of-love.mp3,234.6
1980s,,rocky-iii-eye-of-the-tiger,Eye of the Tiger,Survivor,Rocky III,1982,The 80s Songs.zip,Survivor - Eye Of The Tiger (Lyrics) 4.mp3,rocky-iii-eye-of-the-tiger.mp3,242.5
1980s,,rocky-iv-hearts-on-fire,Hearts on Fire,John Cafferty,Rocky IV,1985,The 80s Songs.zip,𝘑𝘰𝘩𝘯 𝘊𝘢𝘧𝘧𝘦𝘳𝘵𝘺 - 𝘏𝘦𝘢𝘳𝘵𝘴 𝘰𝘯 𝘍𝘪𝘳𝘦 (𝘓𝘺𝘳𝘪𝘤𝘴).mp3,rocky-iv-hearts-on-fire.mp3,246.3
1980s,,karate-kid-youre-the-best,You're the Best,Joe Esposito,The Karate Kid,1984,The 80s Songs.zip,Joe Esposito - You're The Best (LYRICS) 4.mp3,karate-kid-youre-the-best.mp3,175.2
1980s,,flashdance-what-a-feeling,Flashdance... What a Feeling,Irene Cara,Flashdance,1983,The 80s Songs.zip,Irene Cara - Flashdance...What A Feeling (Lyrics) 4.mp3,flashdance-what-a-feeling.mp3,247.9
1980s,,flashdance-maniac,Maniac,Michael Sembello,Flashdance,1983,The 80s Songs.zip,Michael Sembello - Maniac (Lyrics) 4.mp3,flashdance-maniac.mp3,245.1
1980s,,blues-brothers-everybody-needs-somebody,Everybody Needs Somebody to Love,The Blues Brothers,The Blues Brothers,1980,The 80s Songs.zip,The Blues Brothers - Everybody Needs Somebody To Love (Lyrics HD).mp3,blues-brothers-everybody-needs-somebody.mp3,205.5
1980s,,breakfast-club-dont-you-forget-about-me,Don't You (Forget About Me),Simple Minds,The Breakfast Club,1985,The 80s Songs.zip,Simple Minds - Don't You (Forget About Me) (Lyrics).mp3,breakfast-club-dont-you-forget-about-me.mp3,258.0
1980s,,beverly-hills-cop-heat-is-on,The Heat Is On,Glenn Frey,Beverly Hills Cop,1984,The 80s Songs.zip,Glenn Frey - The Heat Is On (Lyrics).mp3,beverly-hills-cop-heat-is-on.mp3,227.5
