era,id,song,artist,film,year,source_zip,original_filename,site_filename,duration_seconds
1990s,lion-king-circle-of-life,Circle of Life,Elton John,The Lion King,1994,The 90s Songs.zip,CIRCLE OF LIFE (Lyrics) - ELTON JOHN.mp3,lion-king-circle-of-life.mp3,292.4
1990s,lion-king-can-you-feel-the-love-tonight,Can You Feel the Love Tonight,Elton John,The Lion King,1994,The 90s Songs.zip,Elton John - Can You Feel The Love Tonight [Lyrics] 4.mp3,lion-king-can-you-feel-the-love-tonight.mp3,242.0
1990s,lion-king-hakuna-matata,Hakuna Matata,"Nathan Lane, Ernie Sabella & Cast",The Lion King,1994,The 90s Songs.zip,Hakuna Matata lyrics.mp3,lion-king-hakuna-matata.mp3,213.2
1990s,pocahontas-colors-of-the-wind,Colors of the Wind,Vanessa Williams,Pocahontas,1995,The 90s Songs.zip,Pocahontas - Colors of the Wind - Lyrics 4.mp3,pocahontas-colors-of-the-wind.mp3,202.2
1990s,mulan-reflection,Reflection,Christina Aguilera,Mulan,1998,The 90s Songs.zip,Reflection - Christina Aguilera (Lyrics) 🎵.mp3,mulan-reflection.mp3,219.2
1990s,mulan-make-a-man-out-of-you,I'll Make a Man Out of You,Donny Osmond,Mulan,1998,The 90s Songs.zip,I'LL MAKE A MAN OUT OF YOU - DONNY OSMOND LYRICS.mp3,mulan-make-a-man-out-of-you.mp3,201.7
1990s,tarzan-youll-be-in-my-heart,You'll Be in My Heart,Phil Collins,Tarzan,1999,The 90s Songs.zip,You'll Be In My Heart - Phil Collins (Lyrics) [HD] 4.mp3,tarzan-youll-be-in-my-heart.mp3,256.5
1990s,tarzan-strangers-like-me,Strangers Like Me,Phil Collins,Tarzan,1999,The 90s Songs.zip,Phil Collins - Strangers Like Me (Lyrics HD).mp3,tarzan-strangers-like-me.mp3,180.4
1990s,goofy-movie-i2i,I2I,Tevin Campbell,A Goofy Movie,1995,The 90s Songs.zip,Tevin Campbell & Rosie Gaines - I2I (Lyrics HD).mp3,goofy-movie-i2i.mp3,248.0
1990s,prince-of-egypt-when-you-believe,When You Believe,Whitney Houston & Mariah Carey,The Prince of Egypt,1998,The 90s Songs.zip,When You Believe - Whitney Houston & Mariah Carey (Lyrics) 🎵 4.mp3,prince-of-egypt-when-you-believe.mp3,305.2
1990s,harry-potter-hedwigs-theme,Hedwig's Theme,John Williams,Harry Potter and the Sorcerer's Stone,2001,The 90s Songs.zip,Hedwig's Theme 4.mp3,harry-potter-hedwigs-theme.mp3,309.1
2000s+,shrek-all-star,All Star,Smash Mouth,Shrek,2001,The 2000s Songs.zip,Smash Mouth - All Star (Lyrics) 4.mp3,shrek-all-star.mp3,197.0
2000s+,shrek-im-a-believer,I'm a Believer,Smash Mouth,Shrek,2001,The 2000s Songs.zip,Smash Mouth - I'm a Believer (lyrics) 4.mp3,shrek-im-a-believer.mp3,185.7
2000s+,cars-life-is-a-highway,Life Is a Highway,Rascal Flatts,Cars,2006,The 2000s Songs.zip,Rascal Flatts - Life Is A Highway (Lyrics) 4.mp3,cars-life-is-a-highway.mp3,275.8
2000s+,cars-real-gone,Real Gone,Sheryl Crow,Cars,2006,The 2000s Songs.zip,Real Gone - Sheryl Crow (Cars Soundtrack) with lyrics 4.mp3,cars-real-gone.mp3,202.9
2000s+,8-mile-lose-yourself,Lose Yourself,Eminem,8 Mile,2002,The 2000s Songs.zip,Eminem - Lose Yourself (Lyrics) 4.mp3,8-mile-lose-yourself.mp3,320.4
2000s+,school-of-rock-title,School of Rock,School of Rock Cast,School of Rock,2003,The 2000s Songs.zip,School of Rock.mp3,school-of-rock-title.mp3,252.7
2000s+,sahara-magic-carpet-ride,Magic Carpet Ride,Steppenwolf,Sahara,2005,The 2000s Songs.zip,Steppenwolf _ Magic Carpet Ride (Lyrics).mp3,sahara-magic-carpet-ride.mp3,266.2
2000s+,transformers-what-ive-done,What I've Done,Linkin Park,Transformers,2007,The 2000s Songs.zip,Linkin Park - What I've Done (Lyrics) 4.mp3,transformers-what-ive-done.mp3,205.1
2000s+,twilight-decode,Decode,Paramore,Twilight,2008,The 2000s Songs.zip,Decode - Paramore (Lyrics) 🎵 4.mp3,twilight-decode.mp3,250.2
2000s+,spider-man-hero,Hero,Chad Kroeger feat. Josey Scott,Spider-Man,2002,The 2000s Songs.zip,Hero - Chad Kroeger feat. Josey Scott - lyrics 4.mp3,spider-man-hero.mp3,198.3
2000s+,avengers-shoot-to-thrill,Shoot to Thrill,AC/DC,The Avengers,2012,The 2000s Songs.zip,ACDC Shoot To Thrill Lyrics 4.mp3,avengers-shoot-to-thrill.mp3,318.8
2000s+,iron-man-back-in-black,Back in Black,AC/DC,Iron Man,2008,The 2000s Songs.zip,AC_DC - Back In Black (Lyrics) 4.mp3,iron-man-back-in-black.mp3,251.7
2000s+,thor-ragnarok-immigrant-song,Immigrant Song,Led Zeppelin,Thor: Ragnarok,2017,The 2000s Songs.zip,Led Zeppelin - Immigrant Song _ Lyrics.mp3,thor-ragnarok-immigrant-song.mp3,147.0
2000s+,guardians-hooked-on-a-feeling,Hooked on a Feeling,Blue Swede,Guardians of the Galaxy,2014,The 2000s Songs.zip,Blue Swede - Hooked On A Feeling (Lyrics) 4.mp3,guardians-hooked-on-a-feeling.mp3,171.6
2000s+,guardians-come-and-get-your-love,Come and Get Your Love,Redbone,Guardians of the Galaxy,2014,The 2000s Songs.zip,Redbone - Come And Get Your Love (Lyrics).mp3,guardians-come-and-get-your-love.mp3,207.6
2000s+,spider-verse-sunflower,Sunflower,Post Malone & Swae Lee,Spider-Man: Into the Spider-Verse,2018,The 2000s Songs.zip,"Post Malone, Swae Lee - Sunflower (Lyrics) 4.mp3",spider-verse-sunflower.mp3,158.1
